url;selector;notes ;Colonne1;tonalitÃ©;Colonne2
edith-piaf/la-vie-en-rose;Key;;F,Fâ™¯7(dim),Gm7,Gâ™¯7(dim),Cm6,D7,Câ™¯maj7,C7,Fmaj7,F6,F7(dim),Am7,Cm7,F7,Bâ™­maj7,Bâ™­m6,G7,Bâ™­m(maj7),C,Bâ™­7(dim),Câ™¯,;F;"1,""F,Fâ™¯7(dim),Gm7,Gâ™¯7(dim),Cm6,D7,Câ™¯maj7,C7,Fmaj7,F6,F7(dim),Am7,Cm7,F7,Bâ™­maj7,Bâ™­m6,G7,Bâ™­m(maj7),C,Bâ™­7(dim),Câ™¯,"""
yves-montand/la-chansonnette;Chords;C;C;;
yves-montand/la-chansonnette;Chords;Dâ™¯(dim);C,Dâ™¯(dim);;
yves-montand/la-chansonnette;Chords;Dm7;C,Dâ™¯(dim),Dm7;;
yves-montand/la-chansonnette;Chords;G;C,Dâ™¯(dim),Dm7,G;;
yves-montand/la-chansonnette;Chords;G7;C,Dâ™¯(dim),Dm7,G,G7;;
yves-montand/la-chansonnette;Chords;C7;C,Dâ™¯(dim),Dm7,G,G7,C7;;
yves-montand/la-chansonnette;Chords;F;C,Dâ™¯(dim),Dm7,G,G7,C7,F;;
yves-montand/la-chansonnette;Chords;Fm;C,Dâ™¯(dim),Dm7,G,G7,C7,F,Fm;;
yves-montand/la-chansonnette;Chords;C/E;C,Dâ™¯(dim),Dm7,G,G7,C7,F,Fm,C/E;;
yves-montand/la-chansonnette;Chords;Eâ™­(dim);C,Dâ™¯(dim),Dm7,G,G7,C7,F,Fm,C/E,Eâ™­(dim);;
yves-montand/la-chansonnette;Chords;Câ™¯(dim);C,Dâ™¯(dim),Dm7,G,G7,C7,F,Fm,C/E,Eâ™­(dim),Câ™¯(dim);;
yves-montand/la-chansonnette;Chords;Dm;C,Dâ™¯(dim),Dm7,G,G7,C7,F,Fm,C/E,Eâ™­(dim),Câ™¯(dim),Dm;;
yves-montand/la-chansonnette;Key;;C,Dâ™¯(dim),Dm7,G,G7,C7,F,Fm,C/E,Eâ™­(dim),Câ™¯(dim),Dm,;C;"1,""C,Dâ™¯(dim),Dm7,G,G7,C7,F,Fm,C/E,Eâ™­(dim),Câ™¯(dim),Dm,"""
scorpions/send-me-an-angel;Chords;Em;Em;;
scorpions/send-me-an-angel;Chords;Cmaj7;Em,Cmaj7;;
scorpions/send-me-an-angel;Chords;D;Em,Cmaj7,D;;
scorpions/send-me-an-angel;Chords;Bm;Em,Cmaj7,D,Bm;;
scorpions/send-me-an-angel;Chords;C;Em,Cmaj7,D,Bm,C;;
scorpions/send-me-an-angel;Chords;Fâ™¯m;Em,Cmaj7,D,Bm,C,Fâ™¯m;;
scorpions/send-me-an-angel;Chords;E;Em,Cmaj7,D,Bm,C,Fâ™¯m,E;;
scorpions/send-me-an-angel;Chords;Câ™¯m;Em,Cmaj7,D,Bm,C,Fâ™¯m,E,Câ™¯m;;
scorpions/send-me-an-angel;Chords;Gâ™¯m;Em,Cmaj7,D,Bm,C,Fâ™¯m,E,Câ™¯m,Gâ™¯m;;
scorpions/send-me-an-angel;Chords;Fâ™¯;Em,Cmaj7,D,Bm,C,Fâ™¯m,E,Câ™¯m,Gâ™¯m,Fâ™¯;;
scorpions/send-me-an-angel;Chords;Dâ™¯m;Em,Cmaj7,D,Bm,C,Fâ™¯m,E,Câ™¯m,Gâ™¯m,Fâ™¯,Dâ™¯m;;
scorpions/send-me-an-angel;Key;;Em,Cmaj7,D,Bm,C,Fâ™¯m,E,Câ™¯m,Gâ™¯m,Fâ™¯,Dâ™¯m,;E;"1,""Em,Cmaj7,D,Bm,C,Fâ™¯m,E,Câ™¯m,Gâ™¯m,Fâ™¯,Dâ™¯m,"""
gipsy-kings/bamboleo;Chords;Em;Em;;
gipsy-kings/bamboleo;Chords;B7;Em,B7;;
gipsy-kings/bamboleo;Chords;Em6/9;Em,B7,Em6/9;;
gipsy-kings/bamboleo;Chords;Am;Em,B7,Em6/9,Am;;
gipsy-kings/bamboleo;Chords;Am7;Em,B7,Em6/9,Am,Am7;;
gipsy-kings/bamboleo;Chords;D7;Em,B7,Em6/9,Am,Am7,D7;;
gipsy-kings/bamboleo;Chords;Gmaj7;Em,B7,Em6/9,Am,Am7,D7,Gmaj7;;
gipsy-kings/bamboleo;Chords;C;Em,B7,Em6/9,Am,Am7,D7,Gmaj7,C;;
gipsy-kings/bamboleo;Key;;Em,B7,Em6/9,Am,Am7,D7,Gmaj7,C,;E;"1,""Em,B7,Em6/9,Am,Am7,D7,Gmaj7,C,"""
daniel-balavoine/tous-les-cris-les-sos;Chords;Am7;Am7;;
daniel-balavoine/tous-les-cris-les-sos;Chords;F;Am7,F;;
daniel-balavoine/tous-les-cris-les-sos;Chords;G;Am7,F,G;;
daniel-balavoine/tous-les-cris-les-sos;Chords;Em;Am7,F,G,Em;;
daniel-balavoine/tous-les-cris-les-sos;Chords;G7;Am7,F,G,Em,G7;;
daniel-balavoine/tous-les-cris-les-sos;Chords;C;Am7,F,G,Em,G7,C;;
daniel-balavoine/tous-les-cris-les-sos;Chords;Am;Am7,F,G,Em,G7,C,Am;;
daniel-balavoine/tous-les-cris-les-sos;Chords;Fmaj9;Am7,F,G,Em,G7,C,Am,Fmaj9;;
daniel-balavoine/tous-les-cris-les-sos;Chords;Dm;Am7,F,G,Em,G7,C,Am,Fmaj9,Dm;;
daniel-balavoine/tous-les-cris-les-sos;Chords;E4;Am7,F,G,Em,G7,C,Am,Fmaj9,Dm,E4;;
daniel-balavoine/tous-les-cris-les-sos;Chords;E;Am7,F,G,Em,G7,C,Am,Fmaj9,Dm,E4,E;;
daniel-balavoine/tous-les-cris-les-sos;Key;;Am7,F,G,Em,G7,C,Am,Fmaj9,Dm,E4,E,;A;"1,""Am7,F,G,Em,G7,C,Am,Fmaj9,Dm,E4,E,"""
maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Chords;C;C;;
maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Chords;D;C,D;;
maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Chords;G;C,D,G;;
maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Chords;Em;C,D,G,Em;;
maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Chords;B7;C,D,G,Em,B7;;
maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Chords;D7;C,D,G,Em,B7,D7;;
maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Key;;C,D,G,Em,B7,D7,;G;"1,""C,D,G,Em,B7,D7,"""
james-blunt/you-re-beautiful;Chords;C;C;;
james-blunt/you-re-beautiful;Chords;G;C,G;;
james-blunt/you-re-beautiful;Chords;Am;C,G,Am;;
james-blunt/you-re-beautiful;Chords;F;C,G,Am,F;;
james-blunt/you-re-beautiful;Chords;G/B;C,G,Am,F,G/B;;
james-blunt/you-re-beautiful;Key;;C,G,Am,F,G/B,;C;"1,""C,G,Am,F,G/B,"""
the-beatles/let-it-be;Chords;C;C;;
the-beatles/let-it-be;Chords;G;C,G;;
the-beatles/let-it-be;Chords;Am;C,G,Am;;
the-beatles/let-it-be;Chords;F;C,G,Am,F;;
the-beatles/let-it-be;Chords;C/E;C,G,Am,F,C/E;;
the-beatles/let-it-be;Chords;Dm7;C,G,Am,F,C/E,Dm7;;
the-beatles/let-it-be;Chords;Bâ™­;C,G,Am,F,C/E,Dm7,Bâ™­;;
the-beatles/let-it-be;Chords;F/A;C,G,Am,F,C/E,Dm7,Bâ™­,F/A;;
the-beatles/let-it-be;Key;;C,G,Am,F,C/E,Dm7,Bâ™­,F/A,;C;"1,""C,G,Am,F,C/E,Dm7,Bâ™­,F/A,"""
dalida/le-temps-des-fleurs;Chords;Em;Em;;
dalida/le-temps-des-fleurs;Chords;Am;Em,Am;;
dalida/le-temps-des-fleurs;Chords;B7;Em,Am,B7;;
dalida/le-temps-des-fleurs;Chords;E7;Em,Am,B7,E7;;
dalida/le-temps-des-fleurs;Chords;Fâ™¯7;Em,Am,B7,E7,Fâ™¯7;;
dalida/le-temps-des-fleurs;Chords;D7;Em,Am,B7,E7,Fâ™¯7,D7;;
dalida/le-temps-des-fleurs;Chords;G;Em,Am,B7,E7,Fâ™¯7,D7,G;;
dalida/le-temps-des-fleurs;Key;;Em,Am,B7,E7,Fâ™¯7,D7,G,;E;"1,""Em,Am,B7,E7,Fâ™¯7,D7,G,"""
carlos/juste-un-rigolo;Chords;G;G;;
carlos/juste-un-rigolo;Chords;E7;G,E7;;
carlos/juste-un-rigolo;Chords;Am7;G,E7,Am7;;
carlos/juste-un-rigolo;Chords;D7;G,E7,Am7,D7;;
carlos/juste-un-rigolo;Chords;Gmaj9;G,E7,Am7,D7,Gmaj9;;
carlos/juste-un-rigolo;Chords;G6;G,E7,Am7,D7,Gmaj9,G6;;
carlos/juste-un-rigolo;Chords;G(dim);G,E7,Am7,D7,Gmaj9,G6,G(dim);;
carlos/juste-un-rigolo;Chords;Dm7;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7;;
carlos/juste-un-rigolo;Chords;Am;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am;;
carlos/juste-un-rigolo;Chords;Cm;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm;;
carlos/juste-un-rigolo;Chords;Gmaj7;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7;;
carlos/juste-un-rigolo;Chords;G7;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7;;
carlos/juste-un-rigolo;Chords;F;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F;;
carlos/juste-un-rigolo;Chords;Fâ™¯7;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7;;
carlos/juste-un-rigolo;Chords;F7;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7;;
carlos/juste-un-rigolo;Chords;E9;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9;;
carlos/juste-un-rigolo;Chords;A9;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9,A9;;
carlos/juste-un-rigolo;Chords;D9;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9,A9,D9;;
carlos/juste-un-rigolo;Chords;C;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9,A9,D9,C;;
carlos/juste-un-rigolo;Chords;A7;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9,A9,D9,C,A7;;
carlos/juste-un-rigolo;Chords;Fâ™¯/G;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9,A9,D9,C,A7,Fâ™¯/G;;
carlos/juste-un-rigolo;Key;;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9,A9,D9,C,A7,Fâ™¯/G,;G;"1,""G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,Fâ™¯7,F7,E9,A9,D9,C,A7,Fâ™¯/G,"""
henri-salvador/jardin-d-hiver;Chords;Câ™¯7(â™­9);Câ™¯7(â™­9);;
henri-salvador/jardin-d-hiver;Chords;Fâ™¯m7;Câ™¯7(â™­9),Fâ™¯m7;;
henri-salvador/jardin-d-hiver;Chords;Câ™¯7;Câ™¯7(â™­9),Fâ™¯m7,Câ™¯7;;
henri-salvador/jardin-d-hiver;Chords;Fâ™¯m;Câ™¯7(â™­9),Fâ™¯m7,Câ™¯7,Fâ™¯m;;
henri-salvador/jardin-d-hiver;Chords;Bm7;Câ™¯7(â™­9),Fâ™¯m7,Câ™¯7,Fâ™¯m,Bm7;;
henri-salvador/jardin-d-hiver;Chords;E9/B;Câ™¯7(â™­9),Fâ™¯m7,Câ™¯7,Fâ™¯m,Bm7,E9/B;;
henri-salvador/jardin-d-hiver;Chords;Amaj7;Câ™¯7(â™­9),Fâ™¯m7,Câ™¯7,Fâ™¯m,Bm7,E9/B,Amaj7;;
henri-salvador/jardin-d-hiver;Key;;Câ™¯7(â™­9),Fâ™¯m7,Câ™¯7,Fâ™¯m,Bm7,E9/B,Amaj7,;F;"1,""Câ™¯7(â™­9),Fâ™¯m7,Câ™¯7,Fâ™¯m,Bm7,E9/B,Amaj7,"""
rocco-granata/marina;Chords;C;C;;
rocco-granata/marina;Chords;G;C,G;;
rocco-granata/marina;Chords;Dm7;C,G,Dm7;;
rocco-granata/marina;Chords;Dm;C,G,Dm7,Dm;;
rocco-granata/marina;Chords;G7;C,G,Dm7,Dm,G7;;
rocco-granata/marina;Key;;C,G,Dm7,Dm,G7,;C;"1,""C,G,Dm7,Dm,G7,"""
styx/boat-on-the-river;Chords;Dm;Dm;;
styx/boat-on-the-river;Chords;C;Dm,C;;
styx/boat-on-the-river;Chords;A7;Dm,C,A7;;
styx/boat-on-the-river;Chords;G;Dm,C,A7,G;;
styx/boat-on-the-river;Chords;E;Dm,C,A7,G,E;;
styx/boat-on-the-river;Key;;Dm,C,A7,G,E,;D;"1,""Dm,C,A7,G,E,"""
cat-stevens/lady-d-arbanville;Chords;Bm;Bm;;
cat-stevens/lady-d-arbanville;Chords;Em;Bm,Em;;
cat-stevens/lady-d-arbanville;Chords;D;Bm,Em,D;;
cat-stevens/lady-d-arbanville;Key;;Bm,Em,D,;E;"1,""Bm,Em,D,"""
joe-dassin/les-champs-elysees;Chords;G;G;;
joe-dassin/les-champs-elysees;Chords;D/Fâ™¯;G,D/Fâ™¯;;
joe-dassin/les-champs-elysees;Chords;Em;G,D/Fâ™¯,Em;;
joe-dassin/les-champs-elysees;Chords;G7/D;G,D/Fâ™¯,Em,G7/D;;
joe-dassin/les-champs-elysees;Chords;C;G,D/Fâ™¯,Em,G7/D,C;;
joe-dassin/les-champs-elysees;Chords;G/B;G,D/Fâ™¯,Em,G7/D,C,G/B;;
joe-dassin/les-champs-elysees;Chords;A7;G,D/Fâ™¯,Em,G7/D,C,G/B,A7;;
joe-dassin/les-champs-elysees;Chords;D7;G,D/Fâ™¯,Em,G7/D,C,G/B,A7,D7;;
joe-dassin/les-champs-elysees;Chords;B7;G,D/Fâ™¯,Em,G7/D,C,G/B,A7,D7,B7;;
joe-dassin/les-champs-elysees;Chords;G7;G,D/Fâ™¯,Em,G7/D,C,G/B,A7,D7,B7,G7;;
joe-dassin/les-champs-elysees;Chords;B7/Fâ™¯;G,D/Fâ™¯,Em,G7/D,C,G/B,A7,D7,B7,G7,B7/Fâ™¯;;
joe-dassin/les-champs-elysees;Chords;Am7;G,D/Fâ™¯,Em,G7/D,C,G/B,A7,D7,B7,G7,B7/Fâ™¯,Am7;;
joe-dassin/les-champs-elysees;Key;;G,D/Fâ™¯,Em,G7/D,C,G/B,A7,D7,B7,G7,B7/Fâ™¯,Am7,;G;"1,""G,D/Fâ™¯,Em,G7/D,C,G/B,A7,D7,B7,G7,B7/Fâ™¯,Am7,"""
folklore/aupres-de-ma-blonde;Chords;C;C;;
folklore/aupres-de-ma-blonde;Chords;Am;C,Am;;
folklore/aupres-de-ma-blonde;Chords;Em;C,Am,Em;;
folklore/aupres-de-ma-blonde;Chords;A;C,Am,Em,A;;
folklore/aupres-de-ma-blonde;Chords;Dm;C,Am,Em,A,Dm;;
folklore/aupres-de-ma-blonde;Chords;G7;C,Am,Em,A,Dm,G7;;
folklore/aupres-de-ma-blonde;Chords;G;C,Am,Em,A,Dm,G7,G;;
folklore/aupres-de-ma-blonde;Key;;C,Am,Em,A,Dm,G7,G,;C;"1,""C,Am,Em,A,Dm,G7,G,"""
yodelice/five-thousand-nights;Chords;Am;Am;;
yodelice/five-thousand-nights;Chords;C;Am,C;;
yodelice/five-thousand-nights;Chords;Em;Am,C,Em;;
yodelice/five-thousand-nights;Chords;F;Am,C,Em,F;;
yodelice/five-thousand-nights;Chords;Dm;Am,C,Em,F,Dm;;
yodelice/five-thousand-nights;Key;;Am,C,Em,F,Dm,;A;"1,""Am,C,Em,F,Dm,"""
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;G(dim);G(dim);;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;F;G(dim),F;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;Dm;G(dim),F,Dm;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;Bâ™­maj7;G(dim),F,Dm,Bâ™­maj7;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;Am;G(dim),F,Dm,Bâ™­maj7,Am;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;Bâ™­;G(dim),F,Dm,Bâ™­maj7,Am,Bâ™­;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;Câ™¯(dim);G(dim),F,Dm,Bâ™­maj7,Am,Bâ™­,Câ™¯(dim);;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;D;G(dim),F,Dm,Bâ™­maj7,Am,Bâ™­,Câ™¯(dim),D;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;Gm;G(dim),F,Dm,Bâ™­maj7,Am,Bâ™­,Câ™¯(dim),D,Gm;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Chords;Bâ™­m;G(dim),F,Dm,Bâ™­maj7,Am,Bâ™­,Câ™¯(dim),D,Gm,Bâ™­m;;
louis-jean-cormier/l%E2%80%99ironie-du-sort;Key;;G(dim),F,Dm,Bâ™­maj7,Am,Bâ™­,Câ™¯(dim),D,Gm,Bâ™­m,;F;"1,""G(dim),F,Dm,Bâ™­maj7,Am,Bâ™­,Câ™¯(dim),D,Gm,Bâ™­m,"""
eddy-mitchell/couleur-menthe-a-l-eau;Chords;F;F;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;G(sus4);F,G(sus4);;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;G;F,G(sus4),G;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;Am;F,G(sus4),G,Am;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;Bm7;F,G(sus4),G,Am,Bm7;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;E;F,G(sus4),G,Am,Bm7,E;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;Fmaj7;F,G(sus4),G,Am,Bm7,E,Fmaj7;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;Cmaj9/D;F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;C;F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D,C;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;Cmaj7/B;F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D,C,Cmaj7/B;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;C6/A;F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D,C,Cmaj7/B,C6/A;;
eddy-mitchell/couleur-menthe-a-l-eau;Chords;A;F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D,C,Cmaj7/B,C6/A,A;;
eddy-mitchell/couleur-menthe-a-l-eau;Key;;F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D,C,Cmaj7/B,C6/A,A,;A;"1,""F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D,C,Cmaj7/B,C6/A,A,"""
loudon-wainwright-iii/the-swimming-song;Chords;G;G;;
loudon-wainwright-iii/the-swimming-song;Chords;D(sus2);G,D(sus2);;
loudon-wainwright-iii/the-swimming-song;Chords;Em;G,D(sus2),Em;;
loudon-wainwright-iii/the-swimming-song;Chords;C;G,D(sus2),Em,C;;
loudon-wainwright-iii/the-swimming-song;Chords;D7;G,D(sus2),Em,C,D7;;
loudon-wainwright-iii/the-swimming-song;Key;;G,D(sus2),Em,C,D7,;G;"1,""G,D(sus2),Em,C,D7,"""
thomas-fersen/louise;Chords;Am;Am;;
thomas-fersen/louise;Chords;Dm;Am,Dm;;
thomas-fersen/louise;Chords;E7;Am,Dm,E7;;
thomas-fersen/louise;Chords;G;Am,Dm,E7,G;;
thomas-fersen/louise;Chords;C;Am,Dm,E7,G,C;;
thomas-fersen/louise;Key;;Am,Dm,E7,G,C,;A;"1,""Am,Dm,E7,G,C,"""
les-frangines/demain-des-l-aube;Chords;Em;Em;;
les-frangines/demain-des-l-aube;Chords;C;Em,C;;
les-frangines/demain-des-l-aube;Chords;G;Em,C,G;;
les-frangines/demain-des-l-aube;Chords;D;Em,C,G,D;;
les-frangines/demain-des-l-aube;Key;;Em,C,G,D,;E;"1,""Em,C,G,D,"""
counting-crows/accidentally-in-love;Chords;G;G;;
counting-crows/accidentally-in-love;Chords;C;G,C;;
counting-crows/accidentally-in-love;Chords;D;G,C,D;;
counting-crows/accidentally-in-love;Chords;Em;G,C,D,Em;;
counting-crows/accidentally-in-love;Chords;A;G,C,D,Em,A;;
counting-crows/accidentally-in-love;Chords;Am;G,C,D,Em,A,Am;;
counting-crows/accidentally-in-love;Key;;G,C,D,Em,A,Am,;C;"1,""G,C,D,Em,A,Am,"""
